Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2023-04-20,2855.391357421875,2862.9326062428067,2830.744157409367,2841.7801970094033,2419999
2023-04-21,2906.938720703125,2910.2493976571473,2851.7124977803655,2860.173416034582,1929184
2023-04-24,2919.76806640625,2925.4239465242517,2875.02599070183,2897.9719345104572,1640676
2023-04-25,2920.87158203125,2934.8505195080106,2894.66099006403,2927.3092712863568,2024090
2023-04-26,2941.242431640625,2950.6690488552285,2925.4701814296627,2925.4701814296627,2000029
2023-04-27,2931.86181640625,2942.2081034997614,2915.951481125579,2929.1488349186,2434446
2023-04-28,2960.6474609375,2968.004820473883,2939.4950522704,2943.311592718381,2931312
2023-05-02,2960.78515625,2975.1320963561516,2952.1403490891025,2975.1320963561516,2321159
2023-05-03,2924.45849609375,2957.6586723706264,2918.2507236937186,2957.6586723706264,2468285
2023-05-04,2961.98095703125,2965.429719336731,2922.711095151928,2924.688295728886,1953253
2023-05-05,2971.177978515625,2983.409635057104,2952.186881840122,2961.3375539099493,1710027
2023-05-08,2989.479248046875,2993.38784535891,2971.7295729946986,2984.3290064830276,928235
2023-05-09,3019.506591796875,3033.0717245857286,2985.248883567397,2991.318795508172,1107375
2023-05-10,3022.770751953125,3040.8882021577638,3003.687603550048,3025.7136504155583,1559987
2023-05-11,3018.494873046875,3043.831827060006,3009.1603121346334,3043.1881029503365,1719623
2023-05-12,3011.275146484375,3025.7139187593248,2998.1238222356833,3015.7354107050955,1027479
2023-05-15,2993.571533203125,3027.553290878769,2987.409789819426,3020.1959317271803,1150390
2023-05-16,2996.422607421875,3021.1158357999793,2989.3411935953186,2994.629295895425,986306
2023-05-17,2950.945068359375,3016.517583915495,2941.334561816381,2994.3994756276697,1588815
2023-05-18,2942.805908203125,2969.56816838411,2938.3454192418985,2966.809158600784,1369364
2023-05-19,2963.958251953125,2974.6723165667154,2945.748742874228,2952.1404038272244,1152449
2023-05-22,3033.71533203125,3042.6821143773673,2958.6243676314443,2970.5340490212952,1333243
2023-05-23,3032.19775390625,3060.6154646158416,3025.8060928695586,3040.4287547824956,1687418
2023-05-24,3037.991455078125,3050.728747641939,3012.838395148391,3012.838395148391,1016555
2023-05-25,3028.93310546875,3040.428980318715,3004.6539075971464,3029.392940462749,1374917
2023-05-26,3061.489013671875,3070.455795118888,3026.6336145765354,3028.932789306539,1791115
2023-05-29,3053.625732421875,3101.126588125399,3045.946399724591,3090.8263311963337,1210372
2023-05-30,3049.809326171875,3059.6957777547364,3036.152362656079,3048.7057671800108,1344224
2023-05-31,3025.254638671875,3060.385989782911,3002.860583074768,3043.1882047013933,5815424
2023-06-01,3056.982666015625,3071.6973840229207,3032.611414316042,3047.7859672610653,1177314
2023-06-02,3040.060791015625,3067.926608260491,3032.565346909803,3059.0518838880043,2030661
2023-06-05,3024.7021484375,3059.741660328517,3021.1615541519814,3048.7056218782786,1861468
2023-06-06,2972.649658203125,3024.65704637281,2961.8895631232526,3016.5178763157314,2022849
2023-06-07,3011.8271484375,3015.460024506568,2980.65042571226,2991.6864655482823,1567196
2023-06-08,2976.466064453125,3007.3210392879746,2973.2932477119334,2999.0440089046133,1759366
