Price,Close,High,Low,Open,Volume
Ticker,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS
Date,,,,,
2023-04-20,169.70599365234375,170.10354395682555,167.9053347013327,168.6068890245973,4423266
2023-04-21,172.13804626464844,172.44206456752087,170.0801563637167,170.2906283775269,5299988
2023-04-24,176.768310546875,177.07231456655046,173.30729779007976,175.38858133113965,17779044
2023-04-25,175.69256591796875,177.2126001213787,174.96763223791322,176.88521670300042,7528552
2023-04-26,175.1781005859375,176.62798230724957,174.64024515131683,176.62798230724957,7008146
2023-04-27,175.10794067382812,176.13689263245726,174.00883614373745,176.0433463550699,8491700
2023-04-28,180.06561279296875,181.4687214640828,177.727098341112,177.727098341112,27709406
2023-05-02,181.63241577148438,183.40968100102344,181.21148603534715,181.93641978796356,9746608
2023-05-03,180.11236572265625,181.63239994576995,178.68586350322406,181.63239994576995,4828488
2023-05-04,179.4575958251953,180.60345928575674,179.15357754303693,179.94867812641323,6253358
2023-05-05,177.4464569091797,179.7849711390665,177.25937862542037,179.01326429783546,7902194
2023-05-08,177.8907928466797,179.1302026211498,177.5400156874999,178.19479686333702,9613544
2023-05-09,178.80279541015625,179.34066511088892,177.75046398844898,178.89634169023805,5716698
2023-05-10,179.48097229003906,179.85512886828582,178.66249228611053,179.597898004886,3670402
2023-05-11,179.90191650390625,180.93086858672734,179.17698272270937,180.3930131097271,4049964
2023-05-12,179.24713134765625,180.18253712116,178.45203073091432,179.87853309940317,4580358
2023-05-15,180.41636657714844,181.00099511433945,178.89633238045178,179.2471095027664,5089694
2023-05-16,180.97763061523438,181.84286950314498,180.76715861521575,181.23486148356042,4059352
2023-05-17,178.80279541015625,181.16470338721652,178.35848626266377,180.62684795964225,5376102
2023-05-18,178.94313049316406,180.22931345449695,178.7794316252716,180.15916087487437,4237016
2023-05-19,180.62684631347656,181.56225201313586,179.36404290967317,179.97205090518844,7281582
2023-05-22,185.09339904785156,185.49094931673628,180.2526717961378,180.767147775097,12197390
2023-05-23,185.9820556640625,188.06333928206072,185.23372816808788,185.678051633149,12725634
2023-05-24,186.9408416748047,187.2916188251028,183.97092561431558,184.50878105680758,8256974
2023-05-25,184.32168579101562,186.61342677395908,183.64351098696005,186.61342677395908,13605054
2023-05-26,187.87625122070312,188.27378724724613,184.74263623853273,184.8127888153839,7926180
2023-05-29,186.9875946044922,189.88735799746058,186.77713688489249,188.9519522930396,7959308
2023-05-30,188.25039672851562,188.88179842931743,186.82390874828332,187.08113960597825,7378972
2023-05-31,188.78826904296875,189.32612451283143,187.31500779137633,187.89963640495742,11783582
